date,close
2016-05-01,62800 
2016-04-01,62300 
2016-03-01,60200 
2016-02-01,60600 
2016-01-01,52700 
2015-12-01,50300 
2015-11-01,53000 
2015-10-01,53300 
2015-09-01,49700 
2015-08-01,52200 
2015-07-01,50900 
2015-06-01,46200 
2015-05-01,48500 
2015-04-01,47950 
2015-03-01,46000 
2015-02-01,45900 
2015-01-01,43250 
2014-12-01,46900 
2014-11-01,47700 
2014-10-01,49450 
2014-09-01,48200 
2014-08-01,44350 
2014-07-01,42450 
2014-06-01,39900 
2014-05-01,41900 
2014-04-01,40500 
2014-03-01,37800 
2014-02-01,37600 
2014-01-01,36400 
2013-12-01,34750 
2013-11-01,33100 
2013-10-01,29750 
2013-09-01,30600 
2013-08-01,30700 
2013-07-01,29150 
2013-06-01,27200 
2013-05-01,32500 
2013-04-01,32600 
2013-03-01,33200 
2013-02-01,33600 
2013-01-01,34850 
2012-12-01,30450 
2012-11-01,29900 
2012-10-01,28500 
2012-09-01,27900 
2012-08-01,25600 
2012-07-01,26350 
2012-06-01,25850 
2012-05-01,23500 
2012-04-01,22650 
2012-03-01,25050 
2012-02-01,27900 
2012-01-01,27900 
2011-12-01,27150 
2011-11-01,25950 
2011-10-01,25400 
2011-09-01,22700 
2011-08-01,25800 
2011-07-01,28400 
2011-06-01,28950 
2011-05-01,30000 
2011-04-01,27550 
2011-03-01,27600 
2011-02-01,29350 
2011-01-01,30050 
2010-12-01,30900 
2010-11-01,29700 
2010-10-01,32700 
2010-09-01,30200 
2010-08-01,32300 
2010-07-01,33600 
2010-06-01,34250 
2010-05-01,33400 
2010-04-01,36600 
2010-03-01,38650 
2010-02-01,40400 
2010-01-01,41600 
2009-12-01,34400 
2009-11-01,33650 
2009-10-01,35700 
2009-09-01,35800 
2009-08-01,33150 
2009-07-01,33350 
2009-06-01,30600 
2009-05-01,30550 
2009-04-01,28000 
2009-03-01,28000 
2009-02-01,28400 
2009-01-01,32500 
2008-12-01,32950 
2008-11-01,27850 
2008-10-01,30100 
2008-09-01,32350 
2008-08-01,33600 
2008-07-01,32350 
2008-06-01,33200 
2008-05-01,34150 
2008-04-01,33750 
2008-03-01,32200 
2008-02-01,37850 
2008-01-01,39500 
2007-12-01,42950 
2007-11-01,41200 
2007-10-01,43300 
2007-09-01,42900 
2007-08-01,43000 
2007-07-01,47700 
2007-06-01,41850 
2007-05-01,42300 
2007-04-01,39550 
2007-03-01,39150 
2007-02-01,43300 
2007-01-01,44800 
2006-12-01,42400 
2006-11-01,39700 
2006-10-01,36900 
2006-09-01,37850 
2006-08-01,36900 
2006-07-01,35800 
2006-06-01,38650 
2006-05-01,45600 
2006-04-01,43850 
