학생번호,국어점수평균,수학점수평균,영어점수평균,과학점수평균,학업집중도
1,90,75,85,60,70
2,65,90,60,88,80
3,45,53,48,50,60
4,77,96,62,92,70
5,88,89,80,82,90
6,90,92,90,96,100
7,65,70,66,76,70
8,60,90,70,98,80
9,46,56,43,55,60
10,88,67,90,70,70
11,70,93,77,89,60
12,99,80,95,70,80
13,97,67,80,60,80
14,50,40,30,54,50
15,90,77,92,60,70
16,55,88,67,92,60
17,77,90,70,98,70
18,90,89,80,92,90
19,76,90,80,92,70
20,70,92,80,95,70
21,76,75,70,82,80
22,77,92,68,89,80
23,60,50,70,40,60
24,54,70,56,72,60
25,72,88,67,95,80
26,58,76,59,80,70
27,88,60,76,58,60
28,84,88,90,92,90
29,45,76,56,78,70
30,76,54,70,58,70
31,66,90,70,88,70
32,88,80,85,88,90
33,71,48,69,50,80
34,90,77,82,65,80
35,34,32,45,50,50
36,56,78,67,89,60
37,70,95,72,80,70
38,93,90,89,91,90
39,92,97,90,89,80
40,56,63,70,71,70
41,88,57,78,60,80
42,90,92,88,94,90
43,91,67,89,70,60
44,58,77,62,88,70
45,54,50,45,33,60
46,78,91,77,90,80
47,92,70,88,60,80
48,57,76,58,71,60
49,97,90,96,90,90
50,69,55,70,54,60
51,45,56,54,58,80
52,65,90,70,92,70
