ID,HUM,RAD,ULN,FEMUR,TIN,CAR,D3P,COR,SCA,TYPE
K766,,,,,,,,,,WILD
N399,153,138,153,139,162,810,307,,,WILD
NEX1,,,,,,,,,,WILD
NEX2,,,,,,,,,,WILD
NEX3,,,,,,,,,,WILD
NEB4,,,,,,,,,,WILD
NEB5,,,,,,,,,,WILD
NEB6,,,,,,,,,,WILD
NEB7,,,,,,,,,,WILD
NE16,,,,,,,,,,WILD
B396,,,,140,,,,107,,WILD
B457,,,,143,151,,,108,132,WILD
B710,153,140,147,142,151,817,305,102,128,WILD
B790,156,137,151,146,155,814,305,111,137,WILD
B791,,132,148,138,145,775,,106,128,WILD
B795,151,134,151,144,,789,292,116,126,WILD
B819,158,135,151,146,152,790,289,111,125,WILD
B081,,135,149,,149,789,,111,123,WILD
B085,148,129,146,139,147,767,287,106,123,WILD
B089,157,140,154,140,159,818,301,116,136,WILD
B090,153,138,153,141,151,822,312,115,133,WILD
B091,156,138,156,145,150,835,310,118,133,WILD
B093,151,133,148,139,152,793,290,105,,WILD
B097,153,135,150,144,158,772,276,102,123,WILD
B099,152,140,151,144,158,792,303,111,122,WILD
B101,,,,,151,814,304,,,WILD
B102,153,,,145,156,,,115,136,WILD
B103,149,133,149,139,151,,,107,132,WILD
B105,,,,145,160,,,116,134,WILD
B106,147,130,144,136,145,765,289,108,131,WILD
B111,154,138,155,142,153,827,315,111,128,WILD
B114,154,138,154,138,155,802,287,111,132,WILD
B116,161,131,150,140,151,816,301,112,134,WILD
B117,,142,159,146,156,824,298,113,136,WILD
L641,150,,,133,141,,,111,122,WILD
L690,140,126,137,123,141,770,290,95,118,WILD
L783,154,,,144,157,,,113,135,WILD
L902,,126,145,,,790,300,,,WILD
L905,169,,,154,163,,,122,143,WILD
L637,153,137,,140,,820,300,104,130,DOMESTIC
L674,142,131,140,128,131,800,250,95,122,DOMESTIC
L678,148,130,145,133,141,800,290,98,124,DOMESTIC
L679,148,131,144,133,135,820,300,103,123,DOMESTIC
L682,145,131,140,129,136,790,300,100,123,DOMESTIC
L684,153,135,146,138,146,840,310,107,125,DOMESTIC
L695,149,132,147,131,139,810,300,102,126,DOMESTIC
L735,129,118,127,,,,280,81,97,DOMESTIC
L746,143,129,141,130,137,800,300,97,121,DOMESTIC
L747,149,132,147,137,136,790,300,105,127,DOMESTIC
L748,145,130,145,132,136,760,280,97,123,DOMESTIC
L749,148,135,145,135,145,840,310,100,124,DOMESTIC
L750,149,130,147,140,147,770,300,104,126,DOMESTIC
L753,141,127,136,126,131,830,310,97,120,DOMESTIC
L755,143,130,139,129,144,790,,97,118,DOMESTIC
L758,149,131,146,135,137,810,300,102,127,DOMESTIC
L762,145,131,143,136,140,790,290,101,125,DOMESTIC
L763,143,129,138,127,144,790,,93,116,DOMESTIC
L765,148,137,146,133,144,820,300,99,125,DOMESTIC
L770,144,129,138,130,134,790,300,97,118,DOMESTIC
L774,143,128,141,130,137,800,300,98,123,DOMESTIC
L776A,,,,133,138,,,,,DOMESTIC
L776B,,,,138,141,,,,,DOMESTIC
L779,149,136,147,135,139,820,300,98,126,DOMESTIC
L784,150,135,148,134,143,820,300,103,129,DOMESTIC
NED1,,,,,,,,,,DOMESTIC
NED2,,,,,,,,,,DOMESTIC
NEG1,,,,,,,,,,DOMESTIC
NEG2,,,,,,,,,,DOMESTIC
NEG3,,,,,,,,,,DOMESTIC
NEG4,,,,,,,,,,DOMESTIC
NEG5,,,,,,,,,,DOMESTIC
NEG6,,,,,,,,,,DOMESTIC
DOR1,,,,,132,,,,,DOMESTIC
DOR2,,,,,140,,,,,DOMESTIC
DOR3,,,,,141,,,,,DOMESTIC
DOR4,,,,,145,,,,,DOMESTIC
DOR5,,,,,139,,,,,DOMESTIC
DOR6,,,,,145,,,,,DOMESTIC
DOR7,,,,,144,,,,,DOMESTIC
DOR8,,,,,147,,,,,DOMESTIC
DOR9,,,,,139,,,,,DOMESTIC
DO10,,,,,136,,,,,DOMESTIC
