YYWW,LAST_WK,SALES
1501,20150104,7846513.63
1502,20150111,7214360.092
1503,20150118,5763901.74
1504,20150125,6677618.328
1505,20150201,5970092.32
1506,20150208,7865009.88
1507,20150215,6082824.604
1508,20150222,6874502.05
1509,20150301,6231290.81
1510,20150308,7747344.972
1511,20150315,6524641.64
1512,20150322,8322476.286
1513,20150329,7874035.51
1514,20150405,8663275.976
1515,20150412,7038129.468
1516,20150419,8801618.612
1517,20150426,7406470.88
1518,20150503,8602949.96
1519,20150510,8764449.56
1520,20150517,8101469.33
1521,20150524,9870558.938
1522,20150531,8338899.044
1523,20150607,10775777.09
1524,20150614,8414578.75
1525,20150621,10525224.49
1526,20150628,9672607.998
1527,20150705,11427927.29
1528,20150712,11223625.17
1529,20150719,9798532.7
1530,20150726,12487063.24
1531,20150802,10576706.23
1532,20150809,12351202.1
1533,20150816,10530100.83
1534,20150823,12761969.69
1535,20150830,11483076.33
1536,20150906,17519348.44
1537,20150913,16200282.32
1538,20150920,17308836.41
1539,20150927,13754081.25
1540,20151004,15010385.99
1541,20151011,14009128.79
1542,20151018,11508854.01
1543,20151025,13342793.9
1544,20151101,14291912.29
1545,20151108,12025550.2
1546,20151115,10741694.77
1547,20151122,12562849.26
1548,20151129,11754538.92
1549,20151206,14743034.78
1550,20151213,10722169.24
1551,20151220,12496113.19
1552,20151227,9382304.84
1553,20160103,9361777
