TITLE,BODY,LABEL
카드광고,할인혜택이 풍부한 삼성카드를 써보세요,spam
수업,지헌아! 수업자료 보냈다.,ham
신용정보,회원님의 신용정보가 변동되었습니다. ,spam
비자카드,충분한 보상으로 돌려드립니다.,spam
프로젝트,프로젝트 제안드립니다.,ham
창업,여성 소자본 창업열풍! 자격증에 도전해보세요,spam
채용,채용소식을 전해드립니다.,spam
설문조사,고객만족 설문조사에 응답해주세요. 감사합니다.,spam
컨설팅,빅데이터 컨설팅 관련자료입니다.,ham
숙제,답변)교수님~ 금웅시계열 숙제를 보냅니다.,ham
안부,지헌아~ 삼촌이야.. 요새 잘 지내지?,ham
자료,오빠~ 방금 자료 보냈어요,ham
서류,서류작성을 부탁드립니다.,spam
카드광고,회원님 잔여포인트가 90점 남았습니다. ,spam
스터디,4월 스터디 시간표안내,ham
대출광고,갈수록 깐깐해지는 대출심사. 이젠 편하게 받아보세요,spam
데이터,분석용 POS데이터 전송해 드립니다.,ham
예스폼,엑셀서식의 진면목을 보여주세요. 빠르고 편하게,spam
학원,T아카데미를 개강합니다.,ham
금융결제원,공인인증서 유효기간 만료안내,ham
계정,장기미사용 휴먼계정 탈퇴처리안내,spam
교육,재직자 무료IT교육실시안내,spam
수입,부가적인 수입원을 창출해보세요,spam
쿠폰,특별할인쿠폰이 제공되었습니다. ,spam
광고,프리랜서가 가능한 초벌번역가 모집안내,spam
상품,주문하신 상품내역입니다. ,ham
